question	valid	schema	type	entity	abs	relation	limit	list	is_or_not
要换多少日元，是在银行换划算还是去机场换		其他	其他						
昆明长水机场机场如何兑换外币？		金融类	有实体但cqa		兑换外币				
换外币在机场换会就要少点？		金融类	有实体但cqa		换外币				
在国际机场买免税的东西还需要退税么		海关过境	有实体但cqa		退税				
在国外买的东西退税了，入境的时候会查护照上的单子么 谢谢		海关过境	有实体但cqa		退税				
昆明长水机场里面的外币兑换点是什么外币都能换回人民币吗？		金融类	有实体但cqa		外币兑换点				
中国农业银行股份有限公司北京空港支行怎么样？		其他	其他	汇丰银行					
昆明长水机场有汇丰银行吗?可以存钱吗	1	金融类	实体查询	汇丰银行					
昆明长水飞机场这付近有没有交通银行	1	金融类	实体查询	交通银行					
昆明长水机场t2航站楼可以换外币么	1	金融类	实体查询		换外币				
昆明长水机场能用人民币换卢布吗？	1	金融类	有实体但cqa		人民币换卢布				
昆明长水机场用人民币换卢布汇率怎么样？	1	金融类	有实体但cqa		人民币换卢布	汇率			
昆明长水机场里面有没有农商银行或农行柜员机机	1	金融类	实体查询	柜员机					
西安银行卡在中国银行自动取款机上取款收费吗	1	金融类	有实体但cqa	自动取款机					
昆明长水机场有没有农业银行？	1	金融类	实体查询	农业银行					
昆明长水航站楼t1t2航站楼有对换外汇的吗?	1	金融类	实体查询	对换外汇					
哪位在昆明长水机场换过欧元		其他	其他						
工行在昆明长水机场有什么服务？	1	金融类	实体属性问询	工行		服务			
昆明长水机场候机楼，有工商银行柜员机吗？拜托了各位 谢谢	1	金融类	实体查询	工商银行柜员机					
昆明长水T3航站楼里面有没有工商银行自助取款机？	1	金融类	实体查询	工商银行自助取款机					
昆明长水机场换外币好么		金融类	有实体但cqa		换外币				
想换些日元，机场里有地方可以换吗	1	金融类	实体查询		换些日元				
国际航空意外险包括哪些分类	1	设施类	实体属性问询	国际航空意外险		分类		哪些	
可以在昆明长水机场货币兑换吗？怎么样？	1	金融类	有实体但cqa		货币兑换				
昆明长水机场的外币兑换点有无人民币换日币业务？	1	金融类	实体查询		外币兑换				
国际机场换汇处的营业时间，周末正常运营还是休息	1	金融类	实体属性问询		换汇处	营业时间			
请问昆明长水机场T3航站楼内有中国银行的自助存款机吗？ 谢谢	1	金融类	实体查询		中国银行的自助存款机				
昆明长水机场是否有工商银行存取柜员机？	1	金融类	实体查询		工商银行存取柜员机				
请问昆明长水机场有中国银行吗？	1	金融类	实体查询		中国银行				
航空意外险多少钱	1	设施类	实体属性问询		航空意外险	多少钱			
昆明长水机场招商银行或招行ATM机的地址	1	金融类	实体属性问询		ATM机	地址			
昆明长水机场里面有招商银行吗?	1	金融类	实体查询	招商银行					
机场能否换日元	1	金融类	实体查询		能否换日元				
在昆明长水机场日元能兑换人民币吗	1	金融类	实体查询		日元能兑换人民币				
请问哪位亲知道昆明长水机场里面的中国银行可以兑换外币吗?	1	金融类	实体属性问询		兑换外币				
请问哪位亲知道昆明长水机场里面的中国银行兑换外币有没有手续费？	1	金融类	实体属性问询		兑换外币	手续费			
昆明长水机场 外币兑换	1	金融类	实体查询		外币兑换				
昆明长水机场1号航站楼取款机在哪	1	金融类	实体属性问询		取款机		1号航站楼		
机场可以兑换欧元吗	1	金融类	实体查询		兑换欧元				
昆明长水什么银行可以拿外币换人民币？	1	金融类	实体查询		拿外币换人民币				
昆明长水什么银行可以拿马币换人民币么？	1	金融类	实体查询		拿马币换人民币				
在中国机场能换到日元吗？	1	金融类	有实体但cqa		换到日元				
在中国机场换日元手续费多少钱？	1	金融类	实体属性问询		换日元	手续费			
昆明长水机场是否有兑换外币的地方？	1	金融类	实体查询		兑换外币的地方				
去昆明长水机场可以把面额为1000元的泰铢全换成20的嘛？		金融类	有实体但cqa		面额为1000元的泰铢全换成20				
国内退税是退欧元还是人民币啊？	1	金融类	有实体但cqa	退税					
如果退人民币，汇率怎么算？	1	金融类	有实体但cqa	退人民币					
昆明长水机场那里可以办理退税业务吗？	1	金融类	实体查询		办理退税				
机场可以换外币吗?	1	金融类	实体查询	换外币					
在昆明长水新昆明长水机场的外币兑换处手续费多少	1	金融类	实体属性问询	外币兑换处		手续费			
昆明长水机场3号航站楼可不可以兑换外币？	1	金融类	实体查询		兑换外币		3号航站楼		
昆明长水机场3号航站楼兑换外币和银行的汇率一样吗？	1	金融类	有实体但cqa		兑换外币				
昆明长水机场3号航站楼可不可以兑换卢布？	1	金融类	有实体但cqa		兑换卢布				
机场哪儿可以换泰铢	1	金融类	实体查询		换泰铢				
有人在昆明长水机场货币兑换过吗？		金融类	其他		货币兑换				
日币汇率昆明长水机场划算还是日本羽田机场划算	1	其他	其他						
昆明长水机场可以兑换泰铢吗？	1	金融类	有实体但cqa		兑换泰铢				
在机场兑换外币	1	金融类	有实体但cqa		兑换外币				
要去欧洲了 机场哪里可以换到欧元 小面值的最好	1	金融类	实体查询		哪里可以换到欧元				
昆明长水机场美元换泰铢可以吗？	1	金融类	有实体但cqa		美元换泰铢				
昆明长水机场哪家货币兑换公司实力最强	1	金融类	有实体但cqa		货币兑换公司				
昆明长水机场能不能兑换人民币？？	1	金融类	有实体但cqa		兑换人民币				
离昆明长水机场最近的民生银行在哪	1	金融类	有实体但cqa	民生银行		在哪			
昆明长水机场有花旗银行的ATM机吗	1	金融类	实体查询	花旗银行的ATM机					
昆明长水机场T3航站楼内有工商银行的存款机吗？营业点也行	1	金融类	实体查询	工商银行的存款机		T3			
请问昆明长水机场换外币上班时间几点到几点	1	金融类	实体属性问询		换外币	上班时间			
昆明长水机场里有没有建设银行的ATM机可以取钱	1	金融类	实体查询		建设银行的ATM机				
昆明长水机场附近中国银行有哪些	1	金融类	列举	中国银行				哪些	
昆明长水机场内有没有柜台银行？？？	1	金融类	实体查询	柜台银行					
航空意外险只保本次航班吗	1	设施类	实体查询		航空意外险				
昆明长水机场这边最近的交通银行网点	1	金融类	有实体但cqa	交通银行网点		最近			
昆明长水机场出口转到福保仓能退税吗	1	金融类	有实体但cqa	退税					
昆明长水国际机场是否有招商银行提款机	1	金融类	实体查询	招商银行提款机					
昆明长水机场t3航站楼附近邮政提款机在哪？	1	金融类	实体属性问询	邮政提款机			t3		
昆明长水机场t3航站楼附近工行提款机在哪？	1	金融类	实体属性问询	工行提款机			t3		
昆明长水机场可以兑换外币吗?	1	金融类	实体查询		兑换外币				
昆明长水机场可以换美元吗	1	金融类	实体属性问询		换美元				
夜里航班，换卢布在机场有营业的兑换柜台吗？	1	金融类	实体属性问询		兑换柜台				
昆明长水机场那里的建设银行具体名字是什么分行?	1	金融类	实体属性问询	建设银行		具体名字			
昆明长水机场有没有交通银行？	1	金融类	实体查询	交通银行					
昆明长水机场有没有自动取款机	1	金融类	实体查询	自动取款机					
一般去哪里兑换外币	1	金融类	实体查询		兑换外币				
兑换欧元170元需要那些手续	1	金融类	有实体但cqa		兑换欧元	手续			
航空意外险的价格是多少	1	设施类	实体属性问询		航空意外险	价格			
听说worldwide的退税单可以回昆明长水机场退，那是退回人民币还是欧元呢？	1	金融类	有实体但cqa		退税				
昆明长水银行离机场最近的营业部	1	金融类	实体查询	昆明长水银行					
在机场丢了物品去哪里认领	1	设施类	实体查询		在机场丢了物品去哪里认领				
如果在机舱内遗失物品，该怎么办		设施类	实体查询		遗失物品				
机场丢了东西能找回吗		设施类	实体查询		丢了东西				
昆明长水机场托运行李内物品丢失的多吗？都怎么处理的啊？		设施类	其他		托运行李				
在昆明长水机场丢物品后如何找?		设施类	实体查询		丢物品后如何找				
我在昆明长水机场拿错了别人的箱子怎么找回自己的		设施类	实体查询		拿错了别人的箱子				
我在昆明长水机场丢失一件行李，港方说以托运到咸阳机场，怎样查询。		设施类	实体查询		丢失一件行李				
成都双流机场上的出租车丢了东西怎么办		设施类	实体查询		丢了东西				
机场登机时安检时遗忘的物品如何找回		设施类	实体查询		遗忘的物品如何找回				
在昆明长水机场不小心拿错了行李，航班是CZ3438，到家后才发现拿错怎么办？		设施类	其他		拿错了行李				
东西丢在了昆明长水机场巴士武林门线车上 怎么找回？		设施类	实体查询		东西丢				
在昆明长水机场安检丢了物品怎么办		设施类	实体查询		丢了物品				
昆明长水机场丢东西可以看监控吗		设施类	有实体但cqa		丢东西				
机场是否有接送机服务	1	设施类	实体查询	接送机服务					
去昆明长水机场接人怎样开在进去		其他	其他						
航班延误12小时到达目的地后旅客感觉身体不适要求航空公司送医院检查，现在我还能维权吗？		其他	其他						
投诉昆明长水机场		设施类	实体查询	投诉					
孕妇昨天在双流机场x光安检，对孩子有没有什么影响		其他	其他						
宝安机场可以骑电动自行车嘛		其他	其他						
北京昆明长水国际机场3号航站楼和1、2号有什么不同？		其他	其他						
女朋友马上要坐飞机离开了 能不能在她在机场的时候让机场的广播说一段我写的话		其他	其他						
昆明长水机场vip贵宾室接待工作怎么样		贵宾服务	有实体但cqa	vip贵宾室					
昆明长水机场t1和t2区别吗		其他	其他						
昆明长水国际机场，昆明长水国际机场哪个好		center	有实体但cqa	昆明长水国际机场					
昆明长水机场和昆明长水机场有什么区别？		center	有实体但cqa	昆明长水机场					
昆明长水机场去哪个贵宾厅好		贵宾服务	有实体但cqa	贵宾厅					
昆明长水机场t1和t2航站楼怎样区分		其他	其他						
孕妇坐飞机机票怎么算	1	设施类	实体属性问询	飞机机票			孕妇		
昆明长水机场免税店和昆明长水机场免税店哪个好		购物类	有实体但cqa	免税店					
为什么飞机场洗手间所有人都在洗手间外面等候？		其他	其他	洗手间					
昆明长水国际机场	1	center	实体查询		昆明长水国际机场				
昆明长水机场	1	center	实体查询		昆明长水机场				
关于昆明长水国际机场周边停车场、旅游、跑腿等业务推广问题		其他	其他						
今天在宝安机场的贵宾休息室看到一个女生那些一张黑色的p卡 看着挺方便不知道怎么弄那个卡		其他	其他						
你对机场母婴室在男厕这种安排怎么看？		其他	其他						
昆明长水机场招聘	1	其他	其他						
简述长水国际机场位置的优缺点		center	有实体但cqa	长水国际机场		位置			
请问要昆明长水机场投诉有没有用？		center	有实体但cqa	昆明长水机场					
昆明长水国际机场面积?	1	center	实体属性问询	昆明长水国际机场		面积			
昆明长水机场有多大?	1	center	实体属性问询	昆明长水机场		多大			
昆明长水机场有哪些部门	1	center	实体属性问询	昆明长水机场		哪些部门			
中国昆明长水国际机场还是只有一个吗	1	center	实体查询	昆明长水国际机场					
昆明长水机场T1和T2有什么区别	1	其他	其他						
昆明长水机场和昆明长水机场比起来哪个大	1	其他	其他						
昆明长水国际机场有多大？	1	center	实体属性问询	昆明长水国际机场		有多大			
昆明长水机场属于哪个区	1	center	实体属性问询	昆明长水机场		哪个区			
昆明长水长水国际机场和巫家坝机场是一个吗	1	其他	其他						
昆明长水国际机场跟昆明长水国际机场哪一个比较大	1	其他	其他						
昆明长水机场免税店有什么香烟？	1	购物类	实体查询	免税店			香烟		
昆明长水机场贵宾厅电话	1	贵宾服务	实体属性问询	贵宾厅		电话			
昆明长水机场服务热线	1	center	实体属性问询	昆明长水机场		服务热线			
昆明长水机场安检的投诉电话	1	设施类	实体属性问询	昆明长水机场		投诉电话			
昆明长水顺丰昆明长水国际机场中电话	1	center	实体属性问询	昆明长水国际机场		电话			
，可以上二楼出发层吗？		其他	其他						
昆明长水机场打包员工资怎样		其他	其他						
昆明长水机场打包员工福利好不		其他	其他						
昆明长水机场T2B什么意思	1	center	实体属性问询	T2B		什么意思			
昆明长水机场集团公司的公司简介	1	center	实体属性问询		昆明长水机场集团公司	公司简介			
昆明长水国际机场与新机场是一个地方吗		其他	其他						
谁知道昆明长水机场的密码	1	其他	其他						
昆明长水机场电话是多少	1	center	实体属性问询	昆明长水机场		电话			
北京昆明长水机场租车哪家好		出行类	有实体但cqa	租车					
昆明长水机场在哪个区?	1	center	实体属性问询	昆明长水机场		在哪个区			
昆明长水机场镇邮政编码	1	center	实体属性问询	昆明长水机场		邮政编码			
昆明长水长水国际机场占地多少亩	1	center	实体属性问询	昆明长水长水国际机场		占地多少亩			
昆明长水机场和昆明长水国际机场是一个吗?	1	其他	其他						
昆明长水国际机场t3和昆明长水机场是一个机场吗	1	其他	其他						
昆明长水国际机场在哪里？	1	center	实体属性问询	昆明长水国际机场		在哪里			
13岁的孩子可以独自乘飞机吗		设施类	实体查询		孩子可以独自乘飞机吗				
昆明长水新昆明长水机场占地面积是多少	1	center	实体属性问询	昆明长水机场		占地面积			
昆明长水机场t1附近练车场，想报驾校考驾驶证，找一个比较近的练车场		其他	其他						
昆明长水机场客服电话是多少？	1	center	实体属性问询	昆明长水机场		客服电话			
昆明长水机场的具体地理位置是什么？	1	center	实体属性问询	昆明长水机场		具体地理位置			
昆明长水机场有官方微博吗？	1	center	实体属性问询	昆明长水机场		官方微博			
圆通昆明长水机场快递到昆明长水要多久		其他	其他						
昆明长水机场附近有什么旅游的地方		其他	其他						
昆明长水机场有4g网吗	1	设施类	实体查询	4g网					
长水机场邮政物流招人吗		其他	其他						
昆明长水机场贵宾接待工资是多少	1	其他	其他						
昆明长水机场有多大	1	center	实体属性问询	昆明长水机场		有多大			
昆明长水机场急救中心有没有眼科	1	其他	其他						
什么时候开始全国81个机场将开通“军人依法优先”通道？		其他	其他						
